あう
あげる
あずかる
あたえる
あたる
あつめる
あびせる
あびる
ありつづける
あり続ける
いう
いたる
いだく
いれる
うかべる
うける
うちきる
うつ
うつす
うつる
うながす
うばう
える
おう
おかす
おきる
おく
おくる
おこす
おこなう
おこる
おさめる
おぼえる
およぼす
おわせる
おわる
かう
かかる
かける
かさねる
かざる
かじる
かす
かたむける
かためる
かわす
かんじる
きたす
きる
くう
くだす
くむ
くらう
くりかえす
くりひろげる
くる
くわえる
くわだてる
こぼす
こめる
こらす
さしはさむ
さそう
しいる
しずむ
しめす
しめる
すすめる
する
たたかわす
たっする
たてる
たどる
たもつ
たれる
だす
つくす
つくる
つける
つづける
つのらせる
つみかさねる
つむ
つよめる
つらぬく
でる
とげる
とばす
とりかかる
とる
なる
ねらう
ねる
はいる
はかる
はさむ
はじめる
はたす
はたらく
はらう
ひきおこす
ふかめる
まねく
まもる
みせる　見せる
みちびく
みる
むける
むすぶ
めぐらす
もたらす
もつ
もらす
やめる
ゆるす
よせる
よぶ
移す
移る
引き起こす
洩らす
憶える
下す
加える
科す
果たす
会う
覚える
感じる
貫く
企てる
寄せる
帰す
起きる
起こす
起こる
喫する
及ぼす
挙げる
許す
強いる
強める
挟む
凝らす
遇う
繰り広げる
繰り返す
傾ける
結ぶ
見る
言う
呼ぶ
固める
交す
交わす
向ける
行う
行なう
合う
込める
差し挟む
作る
始める
施す
止める
至る
持つ
治める
示す
辞める
取りかかる
取る
守る
受ける
収める
終わる
終始する
集める
重ねる
出す
出る
巡らす
招く
上げる
飾る
食う
食らう
侵す
深める
進める
尽くす
図る
垂れる
遂げる
成る
生じる
生ずる
積み重ねる
積む
切る
占める
戦わす
狙う
組む
送る
遭う
促す
続ける
打ち切る
打つ
達する
奪う
辿る
置く
沈む
当たる
働く
導く
得る
入る
入れる
買う
博す
発する
犯す
飛ばす
付ける
浮かべる
負う
負わせる
払う
保つ
募らせる
抱く
放つ
冒す
謀る
誘う
与える
与かる
与る
預かる
浴びせる
浴びる
来る
立てる
練る
漏らす
囓る
齧る
